bounded-build-key-or-legal-history	1
bounded-cli-wrapper	11
bounded-compatibility-documentation	6
bounded-compatibility-or-deferred-url	13
bounded-compatibility-or-permanent-safety	161
bounded-skill-provenance-migration	13
bounded-wrapper-or-deferred-public-location	7
deferred-r6-r7-generated-release	48
deferred-r7-r9-public-identity	6
deferred-r9-public-url	2
fixture	337
generated	6
generated-persisted-old-prompt	6
permanent-history	4865
permanent-protocol	292
permanent-safety-or-migration-history	5
permanent-schema-history-or-fixture	21
symlinked-agent-documentation	3
classified_total	5803
